indeed,实际上；的确
upward,向上的；上升的
platform,平台；站台；讲台
network,网络
nationwide,全国性的；遍及全国的
smartphone,智能手机
software,软件
standpoint,角度；观点
throughout,自始至终；贯穿；遍及
underestimate,低估；轻视；低估
underground,地下的；地铁；在地下
undermine,逐渐削弱；损害；动摇
widespread,普遍的；广泛的
wildlife,野生动物；野生生物
willpower,意志力；毅力
workforce,劳动力；全体员工
worldwide,世界各地的；世界各地地
background,背景；出身
breakthrough,突破
gentleman,绅士；君子；先生
feedback,反馈
greenhouse,温室
guideline,指导方针
highlight,突出；强调；最好的部分
household,家庭；家务的；家庭的
download,下载；已下载的数据资料
downtown,市中心的；在市中心；市中心
outcome,结果
counterpart,相对应的人或事
outdated,过时的；陈旧的
outside,外部；在...外面；在外面；外部的
overall,全面的；总体的；总计；工作服
overseas,海外的；在国外；在海外
ongoing,正在进行的；持续存在的
landscape,风景；景色；局面
laptop,笔记本电脑
livestock,牲口；牲畜
therefore,因此；所以
target,目标；目的；面向
habitat,生活环境；栖息地
manage,管理；完成；应付；勉强维持
standard,标准；水平；标准的；常规的
nowadays,如今；现今；目前
stereotype,刻板印象；对...有成见
guarantee,保证；保证；担保物
alert,警觉的；使警觉；警戒
blame,责备；责任；指责
block,障碍物；阻塞；阻止
boost,提高；推动；增长；激励
bother,麻烦；费心；麻烦；不便
bottle,瓶子；装入瓶中
bound,一定会；受约束的；跳跃着跑
breast,乳房；胸部；胸脯肉；登上顶部
bridge,桥梁；纽带；消除分歧
bright,明亮的；聪明的；鲜艳的；有希望的
budget,预算；便宜的
bulb,电灯泡；球茎
bulk,大部分；体积；大量
bureau,局；处；科；机构
case,具体情况；事例；官司；案件；容器
cash,现金；资金；兑现支票
cater,迎合；满足需要；承办酒席
Celsius,摄氏温度的
chain,链条；一系列；连锁店；用锁链拴住
club,俱乐部
coach,教练；私人教师；长途汽车；训练；辅导
coal,煤；煤块
ceiling,天花板；上限
channel,渠道；频道；贯注；输送
character,品质；性格；特色；人物；角色
chief,首要的；首席的；首领
chip,炸薯条；芯片；碎屑；弄缺；削下
click,使发声；点击；咔嚓声；单击
column,柱；纵队；专栏
cope,处理；应对
male,男性的；雄性的；男性；雄性
element,要素；成分；风雨
elementary,初级的；基础的；小学的
rank,地位；军衔；分等级；完全的
tackle,处理；解决；交涉；抢断
entire,整个的；全部的
