file,文件；档案；文件夹；把(文件等)归档
profile,侧面轮廓；简介；形象；概述
flu,流感
affluent,富裕的；丰富的
current,当前的；流行的；水流；电流
currency,货币；通用；流通
fierce,凶猛的；凶狠的；强烈的；极度的；狂暴的；激烈的
crisis,危机
code,密码；代码；行为准则；法规；为……编码
debt,借款；债务；负债情况
grand,宏大的；宏伟的；重大的；堂皇的；大
fatigue,疲劳；劳累；厌倦
fiber,纤维；纤维制品；食物纤维
limit,限制；限定；限制；界限；极限
surge,激增；汹涌；突发
norm,标准；规范；正常
young,年轻的；初期的
cord,粗线；绳；灯芯绒裤
record,记录；纪录；唱片；记录；录制
cure,治愈；解决；药物；疗法；解决方法
accurate,精确的；准确的；正确无误的
region,地区；区域；身体部位
regular,规则的；固定的；通常的；正常的；定期的；常客
regulate,控制；管理；调节
concert,音乐会；演奏会
certain,确信的；肯定的；一定程度上的；某
passenger,乘客；旅客
passion,激情；热情；酷爱；盛怒
transaction,交易；业务；办理
transfer,转移；转学；调动
transit,运输；交通运输系统
transmit,传送；传递；传播
transport,运输工具；交通运输系统；运输
translate,翻译；转化为；被译为
transform,改变；改造
species,物种
specific,特定的；具体的；明确的
perceive,意识到；察觉到；认为
persuade,劝说；说服；使信服；使相信
officer,军官；官员；高级职员；警察
customer,顾客；客户
quarter,四等份之一；一刻钟；季度；把……切成四部分
psychology,心理学；心理
biology,生物学；生理习性
circumstance,环境；状况；条件；命运；客观环境
finance,金融；财务；资金；财务管理；资助
obstacle,障碍；困难；障碍物
objective,目标；客观的
observe,注意到；观察；遵守；庆祝
occasion,场合；某次；特别的事情；时机；导致
occupy,占用；占据；使忙于；居住
opposite,相反的；对面的；反面；在……对面
arise,出现；发生；引起；起床；站起
aware,知道的；意识到的；注意到的
abundant,大量的；丰富的；充足的；丰盛的
abuse,滥用；辱骂；虐待
absorb,吸收；使并入；使全神贯注；理解；承担
accelerate,加速；加快
accent,口音；重音；强调
accomplish,完成；达成；实现
account,账户；账号；描述；视为
accuse,控告；指责；谴责
acknowledge,承认；感谢；告知收到
adverse,不利的；反面的
advertise,做广告；登广告；宣传
adolescent,青少年；青春期的；青少年的
advocate,拥护；支持；提倡；拥护者；支持者；提倡者
adequate,足够的；合格的
admit,承认；准许进入；接收入院
affair,公共事务；政治事务；事情；暧昧关系
appeal,呼吁；有吸引力；申诉；上诉
appreciate,欣赏；重视；感谢；理解；意识到
approach,靠近；接近；接洽；方法
appropriate,合适的；恰当的；盗用；拨专款等
approve,批准；通过；认可；同意
assume,假设；假装；承担责任；认为；呈现；取得权力
assign,分配；分派；指定；确定
attend,参加；出席；上学；处理；照料；注意
attach,固定；附上；认为有重要性；缠着；与……有联系
attempt,企图；努力；试图；尝试
attribute,归因于；认为是……所为；特征；属性
