crash,撞车；相撞；碰撞声；碰撞；暴跌
craft,手艺；工艺；技巧；宇宙飞船；精心制作
fake,假的；伪造的；伪造；佯装；赝品
fee,费用；酬金；服务费
flow,流；流动；不断供应
frame,框架；构架；身材
further,更远；进一步；更进一步的；促进
gadget,小玩意；小器具
grant,准予；同意；补助金
ham,拙劣演员；烟熏火腿；火腿三明治；表演过火的演员
harsh,残酷的；严厉的；恶劣的；强烈刺眼的
harvest,收获；收成；收割
humor,幽默；幽默感；心情
hunt,猎杀；追捕；寻找；狩猎
item,项目；物品；一条（新闻）
hang,悬挂；绞死；逗留
honour,荣誉；尊敬；荣幸；尊重；表扬
rush,迅速移动；急做；仓促行事；匆忙；冲
rubbish,垃圾；瞎说；废话
route,路线；方法
rear,后部；臀部；后面的；养育；耸立
raw,生的；未经加工的；原始的；擦破皮的；不熟练的
path,小径；路线；途径
pave,铺（地）
pile,摞；堆；大量；摞起；堆放
pill,药片；口服避孕药
pit,深洞；深坑；核；使凹陷
plunge,突然前冲；下落；骤降；暴跌
pond,池塘
pretty,漂亮的；标致的；相当；很
fraud,欺诈；诈骗；骗子
era,时代；年代；纪元
examine,检查；调查；考试；考察
mere,仅仅的；只不过；单单
metal,金属
nest,鸟巢；筑巢
nut,坚果；螺母；发疯的
schedule,日程安排；时刻表；安排；预定
screen,屏幕；银幕；保护
shed,棚；小屋；摆脱；散发；流
shift,转移；改变；轮班
spot,地点；位置；看见；看出
staff,职员；供职
stale,不新鲜的；难闻的；老掉牙的；陈腐的
steam,蒸汽；蒸汽动力；水汽；蒸（食物）
struggle,奋斗；努力；斗争；挣扎；艰难地行进
switch,开关；转变；改变；调换
source,来源；根源；信息来源
stick,插入；粘贴；枯枝
tank,箱；罐；坦克
tap,轻敲；轻拍；利用；开发；水龙头
theft,盗窃（罪）
threat,威胁；征兆
throw,扔；投；抛；掷（色子）
tongue,舌头；语言
trade,贸易；行业；做买卖
trend,趋势
vary,相异；变化
wire,金属丝；电线；布线；打电报
yield,出产；提供；屈服；产量
youth,青年时期；青春；年轻人；青年人
deck,甲板；层面；装饰
deem,认为；视为；相信
dip,蘸；下降；减少；低洼处
dozen,一打；十二个；十多个；很多
drought,久旱；旱灾
due,由于；预计；到期的；适当的；正向
junk,废旧物；垃圾食品；丢弃
keen,热衷的；着迷的；敏锐的；浓厚的；激烈的
label,标签；称谓；贴标签于；称为
lack,缺乏；缺少
ladder,梯子；阶梯；途径
lamb,羔羊；羊羔肉
leaf,叶子；书页；箔
lean,倾斜；倚靠；瘦的；精简的
link,联系；纽带；链接；连接
loan,贷款；借出
mall,商场
pyramid,金字塔；角锥体
odd,奇怪的；不寻常的；可用的；单数的
odds,概率；逆境；不利条件
